1,2,3,4,5,6,7,8,9,10,class
QQYQYX,YYQQQQ,YZXZYQ,ZXZXZY,QQYQQX,ZYYYYY,ZYQYQQ,YXXQZX,YXXQZZ,ZQYQZZ,C
YQQZZZ,YXZZZX,YZXZZX,ZXZZXZ,YZYZYQ,YQQQQY,ZZXZYZ,ZZZYQY,ZQYQQX,QQXQQZ,B
YXQYZZ,YQQZQQ,QQYQYZ,YQZZZZ,XQQZYQ,QXQQQY,QQZQYQ,QZYQZY,ZZQQZX,ZQXZYZ,A
XQXQQQ,ZZYQXX,ZXQQQY,QQYQQQ,ZXQZQY,XQXQXQ,ZYZZXQ,ZYZZQY,ZYXQQY,QQYXQZ,C
QQZYZY,ZYZYXQ,QYXYXQ,XQZYZY,ZYXQQY,ZYZYXY,ZYXQXQ,ZYQQYZ,YXQZYZ,YZYZYZ,C
QZQQXX,QYXXQY,ZYQXXX,ZXZZXX,ZZZZYQ,YZXQQZ,ZYYXZY,ZYQQZY,QQYYQY,XQYYQQ,B
ZYQZYQ,QYZYXZ,YYQXXZ,XXQZZQ,XXZYYQ,QXXZQY,ZZQQXX,XXZZXZ,YXZZYQ,XXYQYQ,A
XQQQZY,YYQQXQ,QYYYXQ,YYQYYY,QXYZYY,YQYZYQ,QYYYZQ,ZXQQYY,QXZQXX,XQQZXX,C
ZXXQZZ,ZZYZZQ,ZYZZYZ,YZQQZZ,ZYQZYQ,QXQYZX,ZZZQYQ,QQXXQQ,QQYXQY,QXQYQQ,A
XQXZXY,YXYQZQ,QYQXYY,ZYXQXZ,ZXZYZX,QZQQYQ,XQZZYQ,QZZYQZ,YXZXQY,YXQXZY,C
YQZQYY,YQXQYY,YZXZZX,XYZXQY,QXZXQX,YYYXYQ,XQXZYX,YQZXZY,YQZXZZ,YZZXQX,C
XYXQYQ,QZZYZZ,ZXQYQQ,XQZXQQ,QZZZXQ,QQZXXZ,XYZZZX,QZQQYQ,YXZYXY,ZXQYZZ,C
ZXQXZZ,XQYYZX,ZQYXQY,YXZYQZ,XZQQXZ,YQQZQX,QZXXYY,ZQQXXZ,XZXZZQ,ZXXXXQ,C
YXZYYY,XYYYYZ,YQQQYX,XZXYYY,YXQZXY,XXYQYY,XXQXQY,QQZXZY,QQQXQQ,QZYZQQ,C
QYXZXY,ZXQXZX,YYXYXZ,XXYYQQ,QZXXYQ,XYXXXX,XZXZYQ,XQYZXX,XQXQQQ,XXZXXX,C
ZYYXXX,QZZZZY,QYYXZX,XYZZQQ,ZXYZYX,ZXQQXY,ZYYYQQ,QZYYYX,QYQQQY,ZZXZXY,C
YQZZXQ,QXQQYZ,ZXYQXZ,ZZZXQQ,XXQYYQ,QXQYQY,XQZXQZ,ZYQZZZ,XQZZXX,ZYQQXX,A
YYYYYX,QYXXQX,YXXXZZ,XXXZZX,ZXZZYQ,YZXZXQ,YQQYXX,ZZXQXX,ZZXQXY,ZYXYYY,B
QYZZQZ,XXZZZQ,XYZQXQ,QZXZXQ,XZZYYQ,QXYYQX,QZXQQQ,ZXYZZX,XYQYQX,ZZXZZY,A
XQXYYY,XQZYYY,ZZYXZX,YYXYQX,ZYQZQY,QYZZZX,YXYQZZ,ZXQZXQ,ZXXYYX,QQQQQZ,C
QQZZXZ,XZZXXZ,XZXXZZ,XXZYZX,XXQZYQ,YQQZXQ,QYYQYX,QQZYQZ,ZZZZQQ,YZXQQQ,B
YYQZXQ,ZYXQXQ,QYXZZX,QYQYYZ,XXZYQQ,QXQYQX,YZYQQY,QYXQXX,XZYQZZ,ZXQXXQ,A
QQYXZZ,ZQYQQY,QYZZZX,QQQYZZ,ZZYQQY,QXQZZX,QQYYYQ,QYZQQQ,ZYQQZY,QQYZYQ,C
QQQQZY,QQYZXZ,ZYZZZQ,YXZYXX,ZZZZYQ,YXXZYQ,ZYQZQY,ZXQZYQ,QYQQYQ,ZXYQYZ,B
XXQQQQ,YZYXZX,XYXQQQ,YYZYXZ,XYQYQY,XZZXQZ,YQYYYQ,YQQYXQ,XQYYYZ,ZYXYXZ,C
ZXZXXZ,YYXYZZ,XXXQQX,XXXQQQ,YYQYXZ,XZYQQY,YZQQZZ,XQZZXZ,YZZQXZ,XYXQQX,C
ZZZYZZ,YXQYQQ,YZYXYZ,YYZXQQ,QYYYXY,ZXQYYY,ZXXQZX,QZZXYX,XQQQXY,XQZXQY,C
QYYQXZ,YXZXZY,QYYYXQ,XXXQYZ,ZXZZYQ,QXYYQY,XQZXXZ,XZXZXQ,YZYXYQ,ZXXXZZ,A
XQXQZZ,XQZXZY,ZZXXZY,ZZYQZX,ZXQZZY,ZQQZXQ,QYZZQQ,YQYZQZ,XZXQZQ,QQQZXQ,C
YXQZZX,XQYXYX,YQQXYX,YQQZYX,YXXXYY,QXXXYX,XYXQYY,XXXXQZ,XQYXYX,YQQYXQ,C
YQYYXQ,XZQXQX,QZXQZY,QYYQZX,QQQYQZ,YQYZQZ,XQXXQQ,ZYXQYQ,XYZYQX,YZZYQY,C
ZZXQYZ,QQXQZZ,ZZZQQQ,QYQZQQ,QQXQQZ,ZZXQQY,QYQYQY,QQYZZY,ZQQQQQ,YZZZZY,C
XXYYXQ,XZXZZZ,YYYZZX,ZYZZZY,YZZZYQ,QYQYYY,XXZZQQ,YQXQYZ,XZXYXZ,YZZYYZ,B
YXXZXZ,ZXQQXQ,QZZZXQ,ZYQQZZ,ZYQQZX,QYQZZY,ZXZZYQ,QZYYQY,QZXQYX,QYQQXX,C
XZZZZQ,ZYZYQZ,QYYYXZ,XZZZYQ,XQQZYZ,ZQYQQQ,QQZQYQ,QQXXYY,QXQQQQ,QQQYQQ,C
YYQQYY,YZZXXY,YYZXZX,ZXXYXZ,YXXXYQ,QYYXZZ,XQYXQQ,QQYXQZ,ZYYQZZ,ZXQQXQ,B
XXZYQQ,ZZQYXY,XXZZXX,QXZQXX,XXYZXZ,XXXQXZ,YQYQQY,YYQYYX,QZXQYQ,XXXXXZ,C
QXQQQZ,ZXZZXY,XXZZZX,QQYQXY,ZQQQYY,QQXYYQ,YQQQZX,QQQQXQ,QZZQQY,QQYYQQ,C
ZZQYYQ,QQYXZY,QQQYQZ,ZYYYQQ,XQYZXQ,QQYYQZ,XYYYQZ,YYZQYX,ZYZZXY,YYXXYZ,C
ZZYXZQ,YQYYQZ,XZQZQQ,XQQYYQ,ZZZXQX,ZZYQZZ,XQQYZQ,QZQYZZ,XQQZQQ,QZZQYX,C
YQYYQQ,ZXZXQZ,QZQYZQ,ZZYYQZ,XQQYZY,YQQZZZ,YQYXXZ,YZQYZZ,XQQXZZ,XQQXZQ,C
XQQQQZ,XXQQZZ,XQQZXQ,ZZZZQZ,XZYZQZ,ZYZXXZ,XZXZZZ,QZZZZZ,YQYZYZ,ZYYXQQ,C
YXQZZX,YXXXQX,QXZXYQ,YYZZYQ,XXYXXX,YYZZXQ,XYYYYX,QXZYYX,YQZYYY,XQYYQQ,C
YZXYZX,ZQQYYZ,YYYYQY,QYYYYX,QZYQYY,YYXXZZ,ZYXZYZ,XZXQXQ,YQXYQQ,YQQXQX,C
YQXQYY,YXXXZZ,XYYQYX,ZZXQQY,QQYXXX,ZZXYZZ,ZZZQXZ,ZXZXXZ,QYQYZZ,ZZYQXZ,C
YYZZXZ,ZYZXZZ,ZYYZZZ,XYZZZZ,YQQXZX,ZZXYYX,XXZYYX,QQQYYQ,YZZYXY,YXXZYZ,C
ZXZQZX,ZXQXQY,QQZZYZ,QQXZXX,ZZZQZZ,YQQXXQ,YZXZQY,QZZXZZ,XQZZYQ,YQZZYZ,C
QYZYYQ,XYZYXQ,YZXYXY,XZYQQY,XXXZYY,YXXQYQ,QYYYZZ,YXXQYZ,ZQZQYQ,YZXXZX,C
XXQXZZ,YZZQZZ,XZXYZZ,YZQZYQ,QYQQQX,QYQZXQ,QZZXZZ,YZYZYY,YQZQYQ,ZXZYZZ,C
ZXQYXX,QQZZZX,ZXZXZX,XZZZXX,XZYZYQ,YYYZYQ,XXQXQZ,XZXXXZ,QYQYXZ,XYZQYY,B
QQZXZZ,ZYZXZZ,YXQYQQ,XYXXXZ,XYZYZZ,XZZQXQ,XZZZQQ,ZZZQQZ,ZQZQQQ,QYQZZZ,C
QQQYYZ,ZXQYZQ,QYQYZZ,ZXQQQZ,XXZZYQ,QXQQZZ,YXZYYY,ZYZQXQ,QYQYYQ,QYZZQQ,B
QQQXQX,YQZQZX,QZYYYZ,QYXQYY,QZYYQY,QXYYQY,YYZXQX,XYZXXQ,ZXYQZY,XQQYYY,A
YQZZQQ,QZYQYQ,YZYZYY,ZYYYYY,YYYQYY,XXXXYQ,YZZYYX,YXZZXX,QYXQYY,ZYXXQY,C
ZXQXZZ,XQXQQQ,XXZZXZ,XZYZZZ,ZZXZYQ,QZXQZX,QQXZQX,ZXYZZZ,YXQQYZ,ZZYQYQ,B
ZYQYQQ,QQZZXZ,ZZQQYZ,ZXZZQQ,QQZXZZ,YYQQXQ,XXZZXQ,QYZZYY,YQQQQQ,YYQZYQ,C
YQYQXQ,YYYZZX,ZZXXZZ,YZZXQY,ZQQYYZ,ZZXZYQ,ZZZYXY,XQYQZQ,YZQZQQ,ZXQYQX,C
QYZZZY,YQZYQZ,XQQYQQ,ZXZXQX,QXQXQQ,QXQYQX,XXYQZZ,ZZYXZZ,ZZXYQQ,XQXXZX,A
ZZYYXZ,YZYQQY,QYYQQY,QQYQQX,QQYQQY,QQYQQQ,ZXQZXX,QYQQYY,QXYXYY,QYYXQY,C
ZXQZXX,QYQZZZ,YQQYQX,XXQYQY,ZZYQZZ,XQQQZY,YZYYYQ,XQYQYZ,XZZYXZ,XZXYZY,C
ZZZYZX,ZXQYZX,QXQZZZ,XZXQZZ,ZXQZYQ,QYQYQX,YXQYZZ,XQZQQZ,QZXQQQ,YQYYQX,B
ZXYQQY,QQQZXZ,QZZQQQ,XQZQQZ,QQQQYY,QXQYZZ,QXQZQX,QXYYYQ,QQXQYQ,QZQXYZ,C
XZZZQY,QZQZZZ,YQQQZQ,ZXZYQY,QXQQYZ,YXQQXX,QQQQYQ,QZZXXX,QQQYZY,QQXQZQ,C
XQQQZZ,ZXQYQY,ZZXQXX,ZXZZZZ,YZZZYQ,QXQZYQ,QYQZQQ,QYZYQQ,QZYZXZ,YQZXZY,A
QZXZYX,ZXZZYX,ZQYQYY,QYYQQQ,ZQQZQQ,ZQQZQQ,ZZZQZY,QZZQQZ,ZQYQZZ,QZQZXQ,C
ZYZZXQ,ZZYZZX,ZZXXXZ,XXXQZZ,XXXZYQ,QYYZYY,QYXZZX,QYXXXX,XQQQZX,ZZXQQY,B
QYYYYQ,QYQQQY,QZXQZX,ZXZYQQ,ZXQZQX,QXYYQX,QYXQQZ,QQXQQQ,ZQXQXQ,QYQQYQ,A
XYXXXY,ZXQQYY,YQXQXZ,YYXYYQ,ZXQXXX,QQXQYQ,YYQXZX,QZQYQZ,XXZZQQ,QYYQXY,C
ZYQYZY,YYZZXZ,XZXZZY,QYYZXZ,YQZZYX,YXQYZX,ZXZXZX,ZZYQYY,ZXZYQX,ZYQYZY,C
YXQXXX,XYZZXQ,YQXXZY,QYQYXX,ZXXYZZ,ZZYXXY,YQXYXQ,XZZYXQ,ZZXXXQ,YYYQZY,C
ZXYQYQ,YZZQYQ,XQXZZX,ZYQXYX,YXZYQQ,QXQYQQ,YQQQQZ,XQQQXQ,XQQZQQ,QQQZXZ,A
QYXQXX,YYZZYX,XZXZZX,XZXZZZ,ZYYZYQ,XXZZZZ,YQQQYZ,ZXZXZX,ZXYYXZ,YQZZZX,B
XYYYXX,ZXXZXQ,XXXQXX,YYZYZZ,XXXZYQ,YZXXYX,QXQXYX,QYYQQY,QXYQYY,QZZYYY,B
YQQQYQ,XXQYZY,QYQQXQ,XQYQZX,QQYZXX,XYYQYY,QZXQZY,ZYXYYQ,YXQZXY,QXYXQY,C
YYXQXY,ZYQYQZ,XYYYXY,QXYYQY,QZZXYY,ZXZYXZ,XXXZZX,ZZZXXZ,XYXZZX,XZXZYY,C
QQQYYQ,QQXZXZ,XQQQXZ,XXXQXQ,QQXQQX,QXQZZY,ZQXQQQ,YXQQQY,YQQZZQ,QQQZXZ,C
QYXQQX,QQQYZY,XZYYYZ,XQZQZX,QZZXZZ,QXQYYY,QQZYQY,XXZYZZ,YXZXZY,YQYQYX,C
QYQZXZ,XQXQYZ,QYXQYZ,ZZQZZY,QYQYXZ,ZZYZYZ,QZZYZY,XXZYYY,QZZYXQ,QZZXYZ,C
QYZZXZ,ZQZXQZ,YYYXYZ,YXZXZZ,ZXZYXZ,XYZYZZ,YYZXYX,QYQQZQ,QQZYYQ,QYXQYZ,C
QZZZQZ,ZXQYQX,ZZYXZZ,XXXXZZ,QQQZYQ,QXZQZY,YXQQYY,QYYQYQ,YXZQZZ,QZQZXQ,B
XZYZXX,XXXZZZ,XXZXXX,XXZZXX,YXZZYQ,QQYYZZ,QYYQYZ,QXQXXX,QZYYYX,QXZZZZ,B
YXZZXQ,ZXQYZQ,QYYYXX,QXZYZZ,ZYZQQZ,ZQZYXZ,ZZXXYZ,ZZYQQQ,YXQYZZ,YYZZZQ,C
ZZYZZZ,XZZYQZ,ZZZZYQ,ZXZZXZ,ZXQZYQ,YZYYQZ,XQQXQX,ZXYQQY,YZXYZZ,ZQQYZZ,B
QZYQYX,ZZXZYX,QYYXQZ,XYXQZZ,YYYQXQ,QXYQQX,XXYXXQ,XXQQYY,YYYYYX,QXYQXX,A
QQQYQQ,YQQYQQ,XXQZYQ,XQYQZZ,QYQYXQ,QXQZZY,ZXQZYZ,XZZYQZ,ZXQQZY,YZYQYQ,C
XZXZZQ,XQYXQY,YZZQQQ,ZZYYQZ,YYQZYQ,QXQYQZ,XQQQQZ,ZZQZXQ,XQQQQX,ZYQQYZ,A
XZQYXQ,QZQZZX,YQQYQX,ZZYXQY,YYXYZQ,QXYZYQ,QZXXZZ,QQZQYZ,QQYXQZ,ZZZQZZ,C
QXYQYZ,YZZXYY,QYZZXX,XXXXXZ,XXXXYQ,QXQXZX,QZYXXY,XXQQQZ,ZQYYXZ,ZZXXZX,B
QQZYZZ,YYXQXY,QYXYZZ,YYYYYY,YXQYZX,XZZYYX,XXZZZX,QXQQYX,ZXZXZZ,QYXXYX,C
ZXZXZZ,ZXZZZX,QYQZXQ,QYQZYY,ZYQZYQ,QYYZYQ,ZYXZYQ,QYQZYQ,ZYQZYQ,QYQZYQ,C
ZXZQYQ,YXYYQZ,XXQZXQ,ZYXQXZ,XQQYYQ,QXQYQZ,YYZXQY,ZYZQQQ,XXXQQQ,QYQZYQ,A
YXZXQZ,YYYYXX,XXZXZY,YQQXYQ,QQZXQQ,YZXZXQ,QZYQQX,ZXQYZZ,ZYQZZX,ZYZZQZ,C
ZYZYQQ,ZZYYXQ,ZZZQXZ,ZXXZZZ,ZXQZYQ,YYZZXY,QYQZXQ,ZXZZQZ,YXZXZZ,ZXQZXQ,B
ZZYZXZ,YQZZYQ,QZZZXX,ZXXZXZ,ZXZZYQ,QXZZZZ,ZYZQQZ,ZZXXZY,QQYXQY,YYQZXQ,B
XZZXZX,QXZYZZ,ZYZZZX,ZZZZXZ,ZYZZYQ,QXZZYQ,ZYXQZZ,YQZYYY,ZYQYXZ,YQXQZX,B
XXZZXZ,XXXXYZ,ZYYQQY,ZZZQZZ,YYZYXQ,QXYQQX,QXXXXQ,QZXZQY,QQZZQZ,ZYXZZX,A
YXQYYX,XXQXXZ,YXQYYX,YXXXXX,ZXQXYQ,XQXQYY,YZYQZX,QZZZXQ,XQXQQQ,YZXQYQ,B
QXZYYY,YXXYYQ,ZYXYYZ,XQQZQQ,YYYZZZ,YQYQQX,ZXXYYZ,YQXYQQ,QXXZQX,YQYYQQ,C
YXQQZZ,XXQQQQ,YZYYQX,ZQXQZX,XXQYQQ,ZZXZXY,QQQYQQ,QYYQQY,YQYYQX,QQZYXQ,C
ZZXQZX,QQYYZX,ZYZYZX,QXXXZX,ZZYZYQ,ZQZYXQ,YQYQZZ,ZYQZZZ,QQZYZZ,ZZXQXQ,B
QZZXQZ,XQYYZX,ZYZYZX,QXXXZX,ZZYZYQ,ZQZYXQ,YQYQZZ,ZYQZZZ,QQZYZZ,ZZXQXQ,B
XZZZXQ,ZZYQZZ,YZYZYZ,ZXQZXZ,XXZZYQ,YXZXQZ,ZZZXQQ,XZZYQZ,XYZZXZ,YZXQQX,B
YQYYZZ,YZZXYZ,XXZXXQ,QQQYQQ,XYQQXZ,XQZXXZ,ZZXXZY,YZXZYQ,QYXYZY,YZXQZX,C
QQYZYQ,ZXZYZZ,XYQZQQ,ZYYXQQ,ZXQZYQ,QXYYQZ,QZZZZX,YYYYXZ,ZZXXXQ,QQZYZY,A
ZZYQZZ,XQQQXQ,YZYQYQ,ZQYQYZ,XZZYXZ,XZYYYY,YYYYYY,YYZYYY,YYYYYY,YYYYYY,C
QQQZYQ,YXZXXZ,YYXZYQ,XZZXYZ,YQZYYQ,XXXQYZ,YZYYYY,XZQZYZ,YYZQYX,QYZQZY,C
ZXXYYZ,XQYXQY,ZYXXZZ,YZZYZY,YYYQYY,QXQYYY,YXQQZZ,QQXZZX,XQZZXX,YYQXQY,C
QXQXXY,ZZQYQQ,QZYXXX,ZXYYZY,QXZXXZ,XXYZXY,ZQQZZX,ZZQZZQ,YZZQZQ,ZQZXZQ,C
ZYYYQX,ZXYXXX,XYXXXX,ZYXZXX,YYXXYQ,QXXXXX,QXYXQY,YXYXQZ,YYQYYQ,QZYXZZ,B
YZZZYZ,YZYZYZ,ZYYXXQ,ZYQQZY,ZXQQYY,ZYXQYZ,ZYQYYQ,XYQQZY,YYZYZX,YQXYYQ,C
YZZZXX,QZZXZZ,ZYZZZX,ZZQZQZ,QQZZYQ,QXQZZY,QYQQYZ,QYQZXQ,QXQXZZ,YZQZXQ,B
YZQZYQ,ZXZYXZ,XZZYYZ,YXQQYZ,YXXQYZ,QXQZQY,ZZZZZY,QQYZZY,YQQQZX,QQQQZX,A
ZQZXQX,QXZXZX,QYYQQX,QQXQQZ,XZQYQQ,QXZZXX,ZQYYXX,ZZZXQX,QQQYQY,XQZQQX,C
YXZQXQ,QYQYXQ,ZYQZXQ,YQQZYQ,ZYZYYQ,QXQQQQ,YZXZXY,ZQXQQY,ZQQZZX,ZZZZXZ,A
YQZXYY,QXZZXQ,ZZZXZY,XXXZZZ,XZXZYQ,QZYXQQ,YQXZZX,QXQQZY,XZZYZQ,YYYZXY,B
ZXQQYZ,XQZYQZ,QQXZXQ,XYZXXZ,XQXYZY,ZQYZYZ,ZZYZZY,ZZXYZY,XZQYXQ,YZYXZY,C
YZYQZX,QZYXXZ,XZYXQZ,XXZZXQ,ZZQZYQ,XXZXXZ,ZZZYYX,ZZYQQX,ZXZZQQ,YQQZXQ,B
XQYZXX,XQZYZZ,XQZXZX,QXQYXX,YXQYZX,YXZZZY,ZYQXZX,ZZXQQX,XQXZXY,ZZZYXQ,C
XYQQXZ,ZXZZXQ,ZXZXZZ,YXYXZX,ZQZZYQ,XQQQQX,XXQYXY,QYQYYZ,XZYQYY,QZQXQQ,C
QXZYZY,XYXYZX,QYZZXZ,XQYZYZ,ZZXXYQ,QQYYQX,ZYQXQQ,QYQXQQ,XYYZZY,ZZYZYZ,B
QZYXXX,XQQYXX,QXXXZX,XXZXXX,XXXXXX,QQXXXX,XQXXXX,XQZXXX,XQXXXX,XQXXXX,C
ZYQQXX,XZXQZQ,QZZZZZ,ZQQYZY,QXQQZX,ZXQYZQ,QZQXXY,ZXQYXQ,QXQZXQ,ZXZYZY,C
YYQZXQ,ZYXQXQ,QYXZZX,QYQYYZ,XXZYQQ,QXQYQX,ZZYQQY,QXXXZY,QZYQXX,XZYQYQ,A
XYYQYZ,ZZYYYX,YYXYYQ,ZZXQZQ,ZZZXXZ,XZXZXY,YZXXXQ,YXXXZX,ZZXYXX,XXXYZX,C
ZQZXXQ,QQYZXQ,ZYQZQX,QQYQYY,ZQQZQQ,ZXQZQY,QZYZQZ,QXQZYY,XQZQYX,ZZZXQQ,C
ZYXZQY,ZZYXZX,ZZYQZZ,YXZXQQ,ZXYZZY,YQZYXZ,XZYYQQ,YYQQYQ,QZZXZZ,XQYZZX,C
QZZQZZ,ZXZZZY,XXQYXX,QQZZYX,QYQQQY,YQQYYQ,XZQZZX,QQQXQZ,ZZZXXQ,QZZZXX,C
XYXYQY,ZXQYYX,XXXQQY,YQZYQX,YXQXXQ,QXYYQZ,YYXXZY,XXXXYX,ZZXZXY,QZXYYX,A
XQXXYZ,ZXZYZZ,XXZQQY,QYZYYQ,YXZYYQ,QXQZZX,ZYZYQZ,ZZZXZY,QQZZZY,ZZZZZY,A
QQZYQQ,YYQXQZ,XQXQQY,YXYYZY,YXQZZY,QYZXZY,XQXXXQ,QYQYXQ,QYYZXZ,YQZXQQ,C
QQZYQY,XYYXQZ,XYXQYX,YZYXXX,XXXQXY,QQXQQX,QZZYXX,XQYZXQ,ZYXXXY,QZZYYZ,C
ZZXZYQ,XYZZYY,YZXZYX,YZYXZY,YYZXQX,QXYZXY,QQZXXY,XYXYXY,XYQYXQ,XZZXYY,C
ZYQQZX,QQQQZY,QZYXXQ,YYZZYQ,YQQYQX,QXYZQZ,ZXQQQZ,ZYQYXQ,QXQZYQ,ZZQQQY,A
QZQQXQ,QZQYZY,XQQZQQ,YQZZZX,ZZQYQQ,ZQQQXQ,YZQZQZ,ZZZZXQ,YXQYXQ,QQZZXZ,C
ZZYQZZ,XZXZXZ,YXQZXX,XXQQZZ,YQYZYQ,QXYYQQ,QZZYZZ,ZZYQQZ,XYXQQQ,YQYQXX,A
YZZYYQ,QYQYXZ,XYZXZZ,ZYZXXZ,YZZXQZ,QZZYZZ,QYZYZZ,YQXYYZ,YXZZYQ,XXXQXZ,C
ZXXZZQ,ZYZZZY,QZQZQX,ZQYZZX,XXYZZY,QZYQQZ,ZXZZZZ,YZZYQY,XQZZZX,QZQZXQ,C
QQYXXX,ZZYQZZ,XZZZZX,ZXQZYY,YQYXQX,QYYZQY,QXQXQZ,YQYZQQ,XQZZZY,ZZZZZZ,C
QXQXYQ,ZZQZXX,ZXZXYX,YZQQQY,XXZZYQ,QXYYQQ,YQYQYQ,ZYQQQY,XXQQQQ,QZZXQQ,A
ZYZQXX,QQQYQQ,XZQYQQ,ZYQQZY,QYXZYZ,XXQYQZ,ZZYQZY,QXQXYY,QQXXZX,XQXYXZ,C
YYYXQX,QYYXXX,ZXQQYX,XXXXXX,XXYXYQ,ZYXQXX,XQXQXZ,YXXYQX,QYYYZX,QQYYYY,B
XYQYQZ,YYQQQX,XZYZXQ,XXZZXQ,YYYXZY,YQYZZY,XZZXXQ,QQYZZY,XQZZXQ,ZZXXXQ,C
QZXYXX,QQYQQY,XZXXQY,YYQQZX,QXXQXX,YXZZXX,ZXQXQQ,YZYYZY,YZYQZY,YYYXQX,C
QYXQQY,YXQYYZ,ZXQXQX,YXQQZY,QYYYXY,ZYQQYZ,YZXXZX,ZYQQYQ,XYYXQY,ZYYXXX,C
QQXQQZ,ZYZZQZ,ZYQYQZ,XZZXQQ,ZQYZYX,ZXXQQZ,QXQQZY,QZZXZX,XQYZXZ,XQYZXZ,C
XQXZZZ,XZXYZQ,ZZXZZQ,QYYQQY,ZZYZZQ,QXQYQX,QZZZQZ,XQQZZZ,ZZYQXZ,ZZZXZQ,A
ZZXQZX,ZXZYZY,ZZYXZX,ZZXZZY,ZXZXYQ,QQZYQX,YZXQZX,YXQYYZ,XQQYZQ,YYYYQQ,B
YYXQZZ,XQZQQY,QXXQXQ,ZYZQXY,QXYQQQ,XZYQQZ,ZYZQQZ,YQZZXY,ZZQQZY,YXXXZZ,C
YQZYQQ,XXXXYZ,ZYQXZZ,YZYQYZ,XYZZZQ,YQYYZZ,YZZXQQ,QQYQZY,XQZXQY,YYYZYZ,C
QXYQYY,YQXYXZ,ZXQYYZ,XQQQXQ,YYYXXX,YYQQZX,ZYQYZX,ZYQZXQ,YYXYYQ,YYQXQX,C
QZXQYX,YYYQYZ,YXYZZX,QYQYZX,QQQXYY,XXYZYY,YYQYYY,QQXXXY,XXQQYZ,XZYZYQ,C
YQYYZQ,QQYYQQ,YQYYQZ,XQZYQZ,QZQZQQ,QXYZZY,QQQQZY,QXQQQQ,YQZZXX,ZZZZYX,A
ZYQXQY,YZQYZQ,QYQQZX,QXYXZZ,ZZZQYQ,QXYYZY,QXQZZX,QYQQZQ,ZQQQYQ,QYQQZQ,A
YYQZXQ,ZYXQXQ,QYXZZX,QYQYYZ,XXZYQQ,QXQYQX,ZZYQQY,QYXQXX,XZYQZZ,ZXQXXQ,A
YQQZXQ,ZZXYXZ,YQYYQQ,XQQXQQ,ZXQQXQ,XQQZXQ,ZXQZXZ,XQQZXZ,YZYYQX,YZZYXX,C
XZYZYZ,XZXXXZ,XZZYZQ,XQZZZX,XXZZYQ,XXZZZX,QYZYXZ,YXQQYQ,XXZXQZ,QYQQZZ,B
QZXQZQ,ZZXXQQ,QZZXZX,QZXQZY,QZZZQQ,QXQYQZ,QQQQZY,YQQZQZ,XZZQQQ,QZZYQQ,A
QZXYYX,YYYYYZ,YYQZYZ,XYXXQX,XZYYZX,XXXYQQ,XQXQXQ,XYZXXX,QQYQZZ,YZZYXX,C
QQZXQY,ZXXXYX,QQZXYY,QYYQXX,XXZYZX,QQYXQZ,YXXYYX,YYZYYY,XYXXXX,YZZXXX,C
YXZQXQ,QYQYXQ,ZYQZXQ,YQQZYQ,ZYZYYQ,QXQQQQ,YZXQXY,ZQXQQY,ZQQZZX,ZZZZXZ,A
QZQZYZ,YZZZXZ,ZZQZXZ,XXXZQQ,ZXQZYQ,QYZQZX,QYXQQY,ZQYQYZ,ZYXQYY,QQYQXX,B
XQXZYY,XQQQYY,XYXQQY,YYYXQZ,XQXQQQ,QYQQZX,XXYXQX,QQYYQZ,YQZYXX,XQZXQQ,C
QQZZYQ,QYXZXX,ZZXZYY,QYQYYX,QZZZXZ,YYXZZQ,YQYYYQ,ZZXQYY,QQYYZQ,YQQXQX,C
QXYXZZ,XZZZZY,XXZXYY,ZZYZYX,QYXZZZ,ZYYQQY,XZXZZX,XYXZXY,XZZZZQ,QQYXZZ,C
ZYYYXX,QXQQYZ,QXQYXX,ZZZXXX,ZXZYQQ,QXQYQQ,YZZXQQ,YQZZXY,QYZYZZ,ZZXQQQ,A
XQZZXZ,XZZYQQ,YXQXZX,YZYYYY,XXQQXQ,QXYYQX,XQQZXQ,XYYYZY,YYQXXQ,YYXXXQ,A
QZXXXQ,XQYQYX,YYYYZX,ZXZZXX,XXZZXX,YZZYXY,ZZYZXX,XQYZYZ,QZXXZY,YQQYXY,C
YZQQZQ,ZYZZZZ,YQYZXY,ZXXZZX,YXYYYX,XXZXZZ,XQQQYY,YZZXQZ,ZXXXQX,YXQXQQ,C
XQQYYZ,YYZZXZ,XZXZXY,ZYYXZZ,ZXZZYQ,YXZXXZ,QZYYYX,YZXQXQ,QYZYYX,QZZZQZ,B
QYQYXX,ZXQQZY,YYYXZQ,XZXZXZ,XZYZZZ,XZXZYY,XXXXXY,ZYYXXX,YYQYZX,XQQXQQ,C
YXXZYQ,QYXXYX,QYYQXX,XXXZQY,XQZQYY,QYXXZY,ZXQQYZ,QYYYQY,YYQYXY,YYYQQQ,C
QZZYQQ,QQYZZX,YQQQZY,YQZYQX,QQXXXZ,XZZXZZ,XXZZXZ,ZZYQQY,YQQQZZ,YQQYYY,C
ZXZYXZ,XQXZXZ,XQZZZY,ZZZXZZ,ZXZZYQ,YZZXYX,QYQZYQ,ZQQYYQ,QXQQXQ,QYQXXZ,B
QQZZQZ,YYYXYZ,ZYYQXQ,QYZZXQ,XZZYYQ,QXQYQX,QQYQQQ,QZXXZX,YQQQYY,QQYYZY,A
